translate_ru,translate_nn,source,article_ru,article_nn
" Только ушел старик, снова появился человек с железными зубами.", Вэсако’ хэхэва есям’ тивтар ңани’ ңадимя.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Человек с железными зубами говорит дочери бедного старика: — На, возьми этот посох, береги его, потом, если залает твоя собака, будешь бить ее им."," Есям’ тивтар маңгабада вэсако не нюн манзь ханада: — Ңа”, тюку еся ядабць’ лэтамбад пуна вэнеконд муно”лаб” вэнекомд ладыба мэ”ир.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" После того, как сказал эти слова, забил себе пищу.", Тикыңа вадида мэсо”махаданда есям’ тивтар мэдамда хада.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Дочь бедного старика сварила в котле жирные куски., Маңгабада вэсако’ не ню туцавэрихит ңамзи пире” нив’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Съев еду, человек с железными зубами исчез в яме очага.", Едамда ңамлись есям’ тивтар тюмю’ ваңган’ тэри та’ яңгума.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Через некоторое время снова залаяла черная собака., Ңамгэ” пирка”на паридена налто харта мадлы”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Дочь бедного старика стала бить черную собаку железной палкой, но убить не смогла."," Маң-габада вэсако’ не ню парисе”э налтом’ еся ядабцяңгана ладыбюлада, хада я”мада.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Чернющая собака ее саму чуть не убила, убежала, сломав столб."," Парисе”э налто пыда си”цеймда хаця хада”, салан-да маля хунарабтада.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" После того, как чернющая собака налто сбежала, дочь старика целых семь длинных дней только слезы льет.", Парисе”э налто’ хун”марихид маңгабада вэсако’ не ню си”ив ямб яля’ ярримда мэ”ңа.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Через семь дней старик пришел, чернющая собака налто тащится за ним."," Си”ив ңэсоңгана вэсако тэвы”, парисе”э налто’ пумнанда ню-хулы.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Бедный старик спрашивает: — Из-за человека с железными зубами ты чуть не убила мою собаку; после моей собаки ты, наверное, меня бы убила."," Маңгабада вэсакор манзь ханада: — Есям’ тивта е”эмня вэнекоми хацянан хада”, вэнекони пуна си”ми хадаңгосанава.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Оказывается, невозможно жить с тобой по-человечески’.", Тю”уй’ тира”мана нясы”л яңговы.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Бедный старик убил свою дочь, проткнув железной тростью, повесил на дерево."," Маңгабада вэсакор не нюмда хадада, еся ядабцянд таркабта-хая пян’ ңыдада.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Бедный вместе с черной собакой налто отправились, куда глаза глядят.", Маңгабада вэсакор парисе”э налтонда ня’ харасяда ян’ яда пяди’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" После того, как шли они один долгий год, на встречу им сто чумов, до самой верхушки покрыты снегом.", Ңоб” ямб по’ яд”махаданди’ неранди’ няна луца’ юр” мя” макодито’ сихи” нёдо тоховы”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Так наблюдает: средний чум [напротив], возможно, был закрыт от ветра другими чумами, остался незаснеженным."," Тарем’ сырпата ертена мяти’ нита хэңгхана ерибермакы, тохо”мада яңгу.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Пока он шел между средними чумами, нашел детский след, пошел по нему.", Мядо” помна еркы мят’ яданари хинда ңоб” ңацекы яда”мам’ пя.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Этот ребенок выходил из среднего чума., Тикы ңацекэця еркы мякад ңадибермы.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Старик вошел в чум., Вэсако мят’ тю.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Девчоночка сосет грудь мертвой матери., Не ңацякэця хальмер небянда ңамяхат ңамя.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Бедный старик, взяв эту девочку на руки, опять отправился, куда глаза глядят. Долго ли, коротко ли шли они вдвоем, опять поставил деревянный домик на берегу маленькой реки, опять сделал его с двумя дверями."," Маңгабада вэсакор тикы не ңацекым’ мине харасяда ян’ ңани’ ядальй”. Сянд хунат ядабати’ ңюд” нюдямбой яха’ яха’ варрин’ пя мядикоцям’ ңани’ серта” нив’, сидя нёхона пыда сертада.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Черную собаку налто тоже привязал к железному столбу., Парисе”э нальтом’ ңобтарем’ еся салан’ сярада.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Дочери своей так говорит: — Если собака залает, не показывайся, отпустив собаку с привязи, садись на железный столб."," Не нюхунда тарем’ ма: — Вэнеконд мадлаб” нён’ ңадибер”, вэнекор ңэдахая еся сал’ ни’ ңамдор”.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 С рассветом пошел бедный старик на охоту., Ялэма’ няна маңгабада вэсако хане хаянё”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Несколько дней нет о нем никаких вестей., Сянахав яля’ сыңгарёда яңгу.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Через некоторое время залаяла черная собака налто., Ңамгэ’ пирка”на парисе”э налто харта мадлы”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Дочь старика вышла ведь на улицу., Вэсако’ не ню пин’ ни”им’ тарп”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" На улице пришло чудище, оно так говорит: — Чье же ты дитя?"," Пихи пихина ңылека товы, пьща тарем’ ма: — Хибя’ нюху ван ңэхэянакэн?",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Дочь старика так говорит: — Я-то дочь бедного старика., Вэсако’ не ню манзь ханада: — Ңари” маньзяван маңгабада вэсако’ не нюдм’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" И тогда-то чудище, услышав эти слова, рухнуло наземь и сказало: — К какому же чудищу мы пришли?"," Тикахавахана сюдбя нылека тикы вадахад ян’ хубкада, манзь ханада: — Ңамгэ ңылекан’ маня” тэвына”?",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" С бедным стариком не могли справиться в семи землях, нет того, с чем бы он ни совладал, не будем его трогать."," Маңгабада вэсако си”ив я’ я”амвэ, ям”вэда яңгу, таня но” хэбея.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Побежало так быстро, что только снег закружился, боялось преследования."," Хаданда ңылама, пуямда пилю”ңа.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Через семь дней пришел старик., Си”ив ңэсоңгана вэсако тэвы”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" После того, как пришел, спрашивает дочь: — Нужно бы уйти с этого места.", Тэвабата ңод” нюхунда мась-нё”: — Тюку’ яхат хэб”ни тара.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" На следующий день снова пошли, куда глаза глядят.", Тебтад’ няна сэвакуто’ ед’ нани’ ядальяд”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Шли они так какое-то время, стали идти по берегу Карского моря.", Ңамгэ’ пират’ яд”-махадандо’ итя ңабтенандо’ яв’ варм’ пя”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Однажды они отдыхали., Ся”ны ңэбто’ ныланаривы”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Отдыхая, они наблюдают: идет по большому морю одна большая полная лодка.", Нид нылана пыдо’ сырпато’ итя нарка яв’ мюмня ңоб” ңарка ңано панаць миңанё”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Если посмотреть поближе, в ней-то — мертвецы, мертвецы все молодые."," Тарем’ мани-еб” нябтид’ тэва хальмер тер”ңа, хальмер” ңэбто’ мал’ илаңы”.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Пристали к берегу., Ян’ теб” ни”им’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" После того, как пристали, слышно, кто-то так говорит: — Пойду-ка я запрягу своих оленей.", Теб”махаданда тарем’маманонда: — Тыни подерманзь мань хэхэрцядм’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Главным в этой лодке был Нга., Тикы ңано’ ерв Ңа ңэривы.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Пока его нет, они таскают на землю все содержимое лодки.", Ңа яңгодан’ тикы ңано’ терм’ ян’ тэвабидо’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Как укусит черный налто за одну руку, после этого все мертвые становятся, как прежде, садятся со свистом.", Парисе”э нальто няби ңудахат ңобо” сякалпида тад тикы’ пуна ңахат ңыхындо’ сюдарць ңамдорңа”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" После этого бегут, куда глаза глядят.", Ңэвакуто’ сер’ сюрба хаңга”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" После того, как оживили последнего, едет Нга на семи мамонтах.", Пили” пуданамдо’ илебте”махад си”ив я’ хорам’ мэць Ңа ти тона.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Тут стали они вчетвером биться, семь-то дней, как гром, гремит звук их носков, на седьмой день положили на бок великого Нга и разрезали его мелко-мелко, а кусочек его сердца под землю ускользнул."," Тикы яхана пыдо’ тетңэ тад пёлмандо’ си”ивахав яля’ ңарвэто’ хэрна” хэңо” яльняраха”, си”ив ңэсоңгана сюдбяко Ңам’ хэвдаледо’, пудёкокована нули” маторңгадо’, сейнда ма-ликм’ я’ ңыльня’ ңэдарабтада.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Тогда бедный старик говорит: — Надо же, беда, кончик его сердца упустили под землю, теперь и впредь будет он невидимой силой воровать из-под земли [жизни людей]."," Маңгабада вэсако манзь ханада: — Нена” я”влынё”, сейнда маликм’ я’ хыйнзер” ңэдарабтава”, тад нерня’ я’ ңыл’ няд нись ңадю” талэртанакы.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 После этого убили и семь его мамонтов., Тад тикы пуна Ңа’ си”ив я’ хорам’ ңани’ хадэйдо’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Всю его семью и лодку уничтожили.," Мята те-раха”на хаенадо’ яңгу, ңаномда ңани тахабтадо’.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Двери его дома камнем заложили., Мята нё’ сим’ маняпэхэна саркабтадо’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Опять двинулись, куда глаза глядят.", Сэвато’ сер’ ңани’ ядальяд”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Несколько лет они идут пешком, наступила зима.", Сянахав по’ ядабато’ ңод” нум-да сырема.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Однажды [видят] впереди сто чумов., Ся”ны’ ңэбто’ нерандо’ няна луца’ юр” мя”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Хорошенько посмотрели: оказывается, это те прежние чумы, это чумы, где нашли девочку."," Сававна манэць ңахат хомбавы луца юр” мята, не ңацекым’ хо”ма мята ңэвы.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Бедный старик говорит дочери: — Войдем-ка в этот чум, здесь будут твои отец и мать."," Маңгабада Вэсако не нюхунда ма: — Тюку мят’ тюхуни’, небяр, нисяр тюкона мэриңгуху’.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Дочь старика только удивляется., Вэсако’ не ню тэри пысаңга.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Жители этого большого стойбища были Нгувоци., Тикы” ңока” мяд’ Ңувоци” еркар” ңэвы”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Тот, которого убили, человек с железными зубами — это был Нга."," Неры хадавэдо’, есям’ тивта Ңа ңэвы.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Бедный старик говорит начальнику Нгувоци: — В недавнем прошлом, когда я шел, забрал одну девочку из этого чума."," Маңгабада вэсако Ңувоци’ тэтан’ манзь ханада: — Сеня’ ңавнани тюку яхад, тюку мяд’ мюд ядавани сер’ ңоб” не ңацекым’ мань ходамзь, теда’ тайкуй ти.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Теперь вот она. Тогда же отец и мать дочку расцеловали.," Тикахавахана Ңувоця’ не ню, небямда, нисямда сидя падуху-та ңэдарабтаңгахаюда.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" Начальник стойбища Нгувоци говорит бедному старику за то, что тот их оживил: — За то, что ты нас оживил, возьми себе в жены мою старшую дочь, перезревшую девушку, затем дам половину своих оленей."," Ңувоци’ тэта сиддо’ илебте”мянда е”эмня маңгабада вэсакон’ тарем’ ма: — Теда’ сидна” илебте”мяданд ңарка не нюми, ңармы пириб-тя, неданд ханад, таддихад ты”ни няби пелям’ татадм’.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
" После того бедный старик женился, закочевал на свою землю, начал жить на тундровой своей стороне, на берегу своей тальниковой реки."," Маңгабада вэсако нем’ мэ”махаданда яханда мюсельй”, вы яхананда ңэда неро’ яхаконда хэвахана иле пэй”.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
 Конец., Та’ малда.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Бедный старик,Маңгабада вэсако
Однажды жила одна женщина.,Ся”ны ңэбта ңод” ңоб” не илевы.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 У нее было трое сыновей., Няхар” хасава нюдя ңэвы.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 Два ее сына обычно всегда ходили охотиться., Сидя хасава нюдя пили” хане ядерцетвэхэ’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 А третий-то ее сын был очень ленивый., Няхаромдэхэвада нули” лэк ңэвы.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Каждый день был дома, обычно сидел около своего огня, положив ноги в горячую золу."," Хусувэй яля’мя”лихинанда мэсеты, гунда хэва-хана ядембата ту’ сибян’ ңэда паклехэя намдёсетвы.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 Однажды задумал он пойти в лес., Ңобаңгуна пэдаран’ хэванзь идей”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Пока шел так по лесу, на встречу ему — огромная береза.", Пэдара’ помна ядаванда сер’ минданда ед’ ңоб” ңарка”я хо ңадимя.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Береза такая огромная, что верхушка ее до неба достает.", Ңарка”я хо ңэб”нанда ңод” тю”уй малада нумгад пере”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Запрокинув голову назад, рассматривает ее до самой верхушки.", Маланда нэсонд носарпюлада — манэсалада.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" У корня березы, оказывается, вырос огромный гриб.", Хо’ пахаңгана сюдбяко набако вадёвы.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 Тунгэвыхы думу думает., Туңгэвэхэнд ирида ядэрна.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Про себя думает: «Надо же, как хорошо, что нашел себе гриб».", Ихинанда ма: «Набакодями йена” ходамнё”».,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 Тогда как ударит со всей силы Тунгэвыхы по грибу одной рукой., Тикахавахана Туңгэвэхэр ныхында валакан’ тудаком’ няби-юм’ тыра’ тырахал” нидав’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 И тут же прилипла его рука к этой чаге., Тикари ңыхына набакон’ тырада тада.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Другой рукой ударил, и вторая рука прилипла."," Няби ңудахана нани’ ладада, няби тырада ңани’ тада.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 И задумался: «Никогда ведь такого не случалось., Ида ядэлы”: «Тарем’ пэртям’ нидамзянё” на”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Огромная береза, я сильнее тебя."," Ңарка”я хо, няданд ватадамзи”.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Когда я видел во сне, должен был уйти от такой беды».", Нема юдэхэна манэ”пани тарця маяңгад хэванда-дамзь».,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Как пнет этот гриб ногой, нога его тоже прилипла."," Ңэхэнанда набако”ям’ нидав’ енахал”, ңэда нобтарем’ тада.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 Второй ногой пнул — тоже прилипла., Нябиюм’ ңэхэнанда енахалңада — ңани’ тада.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Тогда опять задумался: «По-видимому, гриб этот непростой.", Тад тикаха-вахад ида нани’ ядэлы”: «Тюкуховами тэри хумбанзяда набако нинярахаңё” на”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Это, видимо, священный предмет.", Хэбидя ңамгэ ңэдараханё”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 И все равно я сильнее тебя»., Тарем’ нод” няданд ва’ңадм’».,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Как рассердился он, лбом ударил чагу.", Тад нензюманда пэяхананда набаком’ ладада.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 Лоб его прилип., Пэяда тада.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 Так и висит целый день приклеенный к чаге., Нанэдя яля’ ямбан’ набакохона тарем’ тадё ңыды.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" К вечеру, слышно, пришло лесное чудовище, слышно, так говорит: — Капканчик мой всегда хорош, нашел еду."," Нумда пэвсюмзь пэдара’ нылека тованонда, тарем’ мамонда: — Яңгоцями сава ңэсеты, едани терад ховы.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Сняло оно свою добычу, засунуло в берестяной мешок, пошло в свое жилище."," Ханесэмда ха”аврада, тэ паданда мю’ пакледа, мяканда хая.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Когда пришло к себе в чум, повесило добычу свою на шесты в чуме.", Мякананда ханесэмда ти” ни’ ңыдада.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 Тунгэвыхы рассматривает с шестов внутреннее пространство чума., Туңгэвэхэр ти” нид мяд’ мюйм’ манэсарна.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 У лесного чудища было трое дочерей., Пэдара’ нылека’ няхар” не нюда ңэвы.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Ох, и женщины это были.", Ңэб”нандо’ ңод” нем-бой” ңэвы”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Ростом они, как отдельно стоящий кедр, выросший на берегу реки.", Яха’ варахана вадёвы няхатата вата тыдэ’ ямбараха”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" А шириной-то они, как толстенный кедр, как кедр, шириной."," Лэтадахавадо’ няңоте”э тыдэ”, тыдэ” лэтараха”.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Видимо, они много ели’.", Хадри’ нэсь ңо” няңуёто’ лы” сававна манзара”ма нивня”м’ ңа”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 С наступлением утра пошло лесное чудище проверять свои капканы., Нумда ялэмзь пэдара’ ңылекар яңгуда манэ”манзь ңани’ хая.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 Его дочери остались в чуме., Не нюда мяканандо’ хаи”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" После того, как отец ушел, они все повернулись к Тунгэвыхы.", Нисяндо’ хэ”мяхад Туңгэвэхэндо’ няю’ сядо”лыд”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" С него что-то течет: — Посмотрите, вы двое, жир с него течет!"," Ңыгэхэвада тэса: — Сырңади’, юрта тэса!",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 Подставили ладошки и лижут.," Пееди’ харулаңаха’, тамна нянзыбиди’.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 Через некоторое время у Тунгэвыхы выпали испражнения., Ңаво” пирка”на Туңгэвэхэнд палкада ха”мы”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Младшая дочь лесного чудища говорит: — Посмотри, сестра, из него выпала густая варка."," Пэдара’ ңылеканд нюдя не нюдя ма”нив’: — Нябаков, тюконд порца юрта ха”мы.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Ладони подставила, в рот бросила."," Пееда лехэбта, няңганда мода.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 За все это время с Тунгэвыхы пот ручьем бежит., Тикыта ямбан’ Туңгэвэхэнд нёхода итрев’ харна.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 Тунгэвыхы говорит: — Поиграем?, Туңгэвэхэр ма: — Сянакодава”?,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 Дочери лесного чудища очень обрадовались: — Как же будем играть?, Пэдара’ ңылека’ не ню” нули” манд”: — Ханзер” сянакодава”?,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 — Будем играть молотком., — Мам’ мэць тоярць сянакодава”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 Есть вашего у отца молоток?, Нисянда” мада таня?,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 — Есть., — Таня.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 — Как будем играть молотком?, — Мам’ мэць ханзер” сянакосеты”?,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Сейчас я покажу вам, как играют молотком.", Мань теда’ нянда мам’ мэць ханзер” сянаковам’ манэ”лабтацгув.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 Принесите молоток вашего отца!, Нисянда” мам’ тара”!,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 Дочери лесного чудища принесли молоток своего отца., Пэдара’ ңылека’ не ню” нисяндо’ ңарка”я мам’ тэварадо’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
 — А теперь ложитесь рядышком., — Теда’ ңоб” ирсу’ лясэйда”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
" Дочери лесного чудища сделали, как он им сказал.", Пэдара’ ңылека’ не ню” вадита сер’ на”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Тунгэвыхы,Тунгэвыхы
